"time","temperature","humidity","relay1","relay2","relay3"
"2026-05-04 14:27:25.643775+07","35.2","61.9",1,0,0
"2026-05-04 14:27:55.684189+07","35.2","63.1",1,0,0
"2026-05-04 14:28:25.727237+07","35.2","62.5",1,0,0
"2026-05-04 14:28:55.742053+07","35.3","62.8",1,0,0
"2026-05-04 14:29:25.796389+07","35.3","61.6",1,0,0
"2026-05-04 14:29:55.932531+07","35.3","61.8",1,0,0
"2026-05-04 14:30:25.840766+07","35.4","62.7",1,0,0
"2026-05-04 14:30:55.868551+07","35.4","61.1",1,0,0
"2026-05-04 14:31:25.94108+07","35.4","61",1,0,0
"2026-05-04 14:31:55.936645+07","35.3","60.7",1,0,0
"2026-05-04 14:32:25.963296+07","35.2","61",1,0,0
"2026-05-04 14:32:56.013503+07","35.1","61.1",1,0,0
"2026-05-04 14:33:26.003375+07","35","62.4",1,0,0
"2026-05-04 14:33:56.120844+07","34.9","62.1",1,0,0
"2026-05-04 14:34:26.002997+07","34.9","62",1,0,0
"2026-05-04 14:34:55.997247+07","34.7","61.3",1,0,0
"2026-05-04 14:35:26.002857+07","34.6","62",1,0,0
"2026-05-04 14:35:55.997631+07","34.5","61.9",1,0,0
"2026-05-04 14:36:26.012153+07","34.4","62.5",1,0,0
"2026-05-04 14:36:56.003395+07","34.3","62.3",1,0,0
"2026-05-04 14:37:26.11803+07","34.2","62.5",1,0,0
"2026-05-04 14:37:55.99655+07","34.1","61.8",1,0,0
"2026-05-04 14:38:25.998805+07","34","62.5",1,0,0
"2026-05-04 14:38:56.120172+07","33.9","63.4",1,0,0
"2026-05-04 14:39:26.002136+07","33.8","64.9",1,0,0
"2026-05-04 14:39:56.014269+07","33.6","65.3",1,0,0
"2026-05-04 14:40:26.007553+07","33.4","65.2",1,0,0
"2026-05-04 14:40:56.008268+07","33.1","66.3",1,0,0
"2026-05-04 14:41:26.022825+07","32.8","67.2",1,0,0
"2026-05-04 14:41:56.030732+07","32.4","68.1",1,0,0
"2026-05-04 14:42:26.023937+07","32.1","69",1,0,0
"2026-05-04 14:42:56.021033+07","31.8","69.6",1,0,0
"2026-05-04 14:43:26.014274+07","31.5","69.8",1,0,0
"2026-05-04 14:43:56.017415+07","31.3","70.9",1,0,0
"2026-05-04 14:44:26.004988+07","31","72.3",1,0,0
"2026-05-04 14:44:56.009873+07","30.7","74.5",1,0,0
"2026-05-04 14:45:26.117648+07","30.3","75.5",1,0,0
"2026-05-04 14:46:26.264018+07","29.4","78.3",0,0,0
"2026-05-04 14:47:26.021312+07","28.5","80.9",0,0,0
"2026-05-04 14:48:26.021505+07","27.8","82.9",0,0,0
"2026-05-04 14:49:26.121598+07","27.2","84.4",0,0,0
"2026-05-04 14:50:26.02526+07","26.8","85.6",0,0,0
"2026-05-04 14:51:26.039569+07","26.5","86.9",0,0,0
"2026-05-04 14:52:26.019645+07","26.2","87.4",0,0,0
"2026-05-04 14:53:26.034805+07","26","88.7",0,0,0
"2026-05-04 14:54:26.031122+07","25.9","90.1",0,0,0
"2026-05-04 14:55:26.136368+07","25.5","91.5",0,0,0
"2026-05-04 14:56:26.040547+07","25.2","92.9",0,0,0
"2026-05-04 14:57:26.070915+07","24.9","93.8",0,0,0
"2026-05-04 14:58:26.092106+07","24.6","94.5",0,0,0
"2026-05-04 14:59:26.057284+07","24.3","95.1",0,0,0
"2026-05-07 08:39:32.672033+07","30.8","77.8",0,0,0
"2026-05-07 08:40:32.624153+07","30.7","79.1",0,0,0
"2026-05-07 08:41:32.623583+07","30.7","78.8",0,0,0
"2026-05-07 08:42:32.640365+07","30.6","78.3",0,0,0
"2026-05-07 08:43:32.620798+07","30.5","78.8",0,0,0
"2026-05-07 08:44:32.617802+07","30.4","79.7",0,0,0
"2026-05-07 08:45:32.632686+07","30.3","79.3",0,0,0
"2026-05-07 08:46:32.645681+07","30.3","79.7",0,0,0
"2026-05-07 08:47:32.635183+07","30.3","78.7",0,0,0
"2026-05-07 08:48:32.685028+07","30.2","78.8",0,0,0
"2026-05-07 08:49:32.727329+07","30.2","79.8",0,0,0
"2026-05-07 08:50:32.817122+07","30.3","78.7",0,0,0
"2026-05-07 08:51:32.886096+07","30.3","78.8",0,0,0
"2026-05-07 08:52:32.953748+07","30.4","79",0,0,0
"2026-05-07 08:53:33.008507+07","30.5","79.1",0,0,0
"2026-05-07 08:54:33.08+07","30.5","78.4",0,0,0
"2026-05-07 08:55:33.152026+07","30.5","78.2",0,0,0
"2026-05-07 08:56:33.199155+07","30.8","78.2",0,0,0
"2026-05-07 08:57:33.271233+07","31","77.5",0,0,0
"2026-05-07 08:58:33.330673+07","31","76.7",0,0,0
